290;καρνάγιο-λημναίος-εμμανουήλ;καρνάγιο;13;
293;δείπνος στην αγορά-εστιατόριο;998190198;13;
305;καντίνα μαράθι;καντ-μαρ;13;
312;κουτσάκης ηρακλής-ψησταριά;059131381;13;
326;can-tina κωνσταντινομανωλάκη σταματίνα;044807536;13;
352;wasabi-στειακάκης σ-leyng kin peter οε κινέζικο εστιατόριο;99751568;13;
361;latte καφετέρια/τοστάδικο γιώργος πάσσος;039286480;13;
362;απλα σπιτικό-μποτσάκης χαράλαμπος & σια εε;997581570;13;
374;ακρογυαλί-παντεχάκης νίκος-ταβέρνα;νικπανταβ;13;
379;dolies restaurant;dolies;13;
383;harvest special chinese hague;harvestre;13;
386;du progres gent restaurant;843625133;13;
390;brasserie μάλια;brasser;13;
393;το λυβικο-ψαρακης μιχαλης-οβελιστηριο-τσουτσουρας;119659215;13;
416;subway sandwiches & salads hatfield bus park;886372380;13;
417;Olympic catering sa;098007620;13;
418;giraffe stop kings cross st. london;220430231;13;
451;goodies;goodies;13;
466;grange road takeaway;grange-tk;13;
30;καθαριστηριο ηλιος;110727107;14;
313;κυπραίος γεώργιος-τακούνι σούπερ;046758999;14;
31;παπαδακη οικ. υλικα;041286388;15;
36;σταματακη αικ. οικοδομικα υλικα;103813092;15;
132;ψιμοπουλάκης δημήτρης-τζάκια;045643707;15;
74;χατζημιχαήλ ανδρέας- ενοίκιο;020083930;16;
325;εθνική τράπεζα ελλάδος α.ε;094014201;16;
341;Alpha bank;094014249;16;
428;πειραιώς τράπεζα;094014298;16;
46;μανασακης δημητρης-συνεργειο;038912172;17;
53;νιβαλ suzuki;094274232;17;
72;yamaha σπυριδάκης;082461347;17;
80;suzuki-σταρένιος ;084279268;17;
81;λεγγέτσης αποστόλης-φανοποιός;045846154;17;
105;moto gp-γιαννης ψυχογιος;079876702;17;
112;αυγουστάκης ελευθέριος συνεργείο;059995785;17;
225;κτεο βιστάκης επε;999485761;17;
227;αφοί παπαδάκη οε-ανταλλακτικά μοτοσυκλετών;082711943;17;
280;ι. καραλης & σια οε-ανταλακτικά αυτοκινήτου;081888382;17;
281;τζωρτζάκης ανδρέας-συνεργείο αυτοκινήτου;059170310;17;
333;yellow13bik ebay seller;yellow13;17;
340;Trojak Zoltan bike parts;zolimotor;17;
344;λιανακης-κουβαρας μοτο- συνεργείο;079617962;17;
364;κτεο γιαννακακη;999744960;17;
